geo_id,census_tract,tract_name,population,hispanic_pp,black_pp,hispanic_pp_pct,black_pp_pct
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",6600,2315,3234,35.07575757575758,49.0
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",4167,2943,980,70.62634989200865,23.51811855051596
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",5684,4148,965,72.97677691766363,16.977480647431385
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",5917,3335,1986,56.363021801588644,33.56430623626838
1400000US36005001901,36005001901,"Census Tract 19.01, Bronx County, New York",1910,1029,610,53.87434554973822,31.93717277486911
1400000US36005001902,36005001902,"Census Tract 19.02, Bronx County, New York",1334,640,373,47.976011994002995,27.961019490254873
1400000US36005001903,36005001903,"Census Tract 19.03, Bronx County, New York",0,0,0,,
1400000US36005001904,36005001904,"Census Tract 19.04, Bronx County, New York",0,0,0,,
1400000US36005002001,36005002001,"Census Tract 20.01, Bronx County, New York",4837,2687,2051,55.55096133967336,42.40231548480463
1400000US36005002002,36005002002,"Census Tract 20.02, Bronx County, New York",4768,3326,1442,69.75671140939598,30.243288590604028
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",4517,3222,1254,71.33052911224263,27.761788797874697
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,0,0,,
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",5694,4144,1249,72.77836318932209,21.935370565507554
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",2672,1971,691,73.76497005988024,25.860778443113773
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",4504,2468,1973,54.79573712255773,43.80550621669627
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",5030,1825,3123,36.28230616302187,62.087475149105366
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",1858,1235,499,66.46932185145317,26.856835306781484
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",3140,1759,1291,56.019108280254784,41.11464968152866
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",3738,2722,934,72.81968967362225,24.986623863028356
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",222,146,76,65.76576576576578,34.234234234234236
